workflow_name,object_type,is_active,last_polled_at
JOBP.DAILY_CHECK_MOVE_EDI_FILES,JOBP,y,
JOBP.DAILY_IPLUS_OPTUM_ACCUMS_OUTBOUND_PROCESS,JOBP,y,
JOBP.DAILY_OPTUM_ACCUMS_UPLOAD_PROCESS,JOBP,y,
JOBP.DAILY_NATION_BENEFITS_UPLOAD_PROCESS,JOBP,y,
JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,JOBP,y,
JOBP.SFTP_PRIME_MCARE_NJ_PPO_CET_PCT_FILES_UPLOAD_PROCESS,JOBP,y,
JOBP.CVS_HEALTH_DAILY_MCARE_NJ_PPO_CET_PCT_LOAD_PROCESS,JOBP,y,
JOBP.CVS_HEALTH_DAILY_ACA_PA_PPO_CET_PCT_LOAD_PROCESS,JOBP,y,
JOBP.CVS_HEALTH_DAILY_ACA_CET_PCT_LOAD_PROCESS,JOBP,y,
JOBP.SFTP_PRIME_PPO_DAILY_CET_PCT_FILES_UPLOAD_PROCESS,JOBP,y,
JOBP.DAILY_SALESFORCE_BAT_PROCESS,JOBP,y,
